zipcode,num_fires_2017_2019,avg_acres,min_acres,avg_distance_m,min_distance_m
92591,1,1260.9869384765625,1260.9869384765625,226530.91874650956,13209.4798598026
92592,1,1260.9869384765625,1260.9869384765625,233078.09532615615,15037.000069518734
92595,4,6006.585738182068,46.90481948852539,211528.4573422166,6820.569443867132
92596,1,1260.9869384765625,1260.9869384765625,223321.10253331618,2326.532661586982
92602,19,647.8800215615498,0.0029606227763,178587.007737507,1701.0604379563501
92606,17,551.7381918255295,0.004819540772587,178967.57501649542,6011.952769919545
92610,26,1257.0009565727535,0.001356886699796,183078.06636139244,2995.6251339584355
92614,19,493.6776365432398,0.004819540772587,179643.04033980446,7567.181033920408
92620,21,446.38511268734663,0.0029606227763,179835.73145488018,2288.0194934918995
92626,6,2.3987428893645606,0.074742428958416,179017.68664705896,5271.229368544909
92630,27,1206.5334053962767,0.001356886699796,185112.15135397314,708.9432430882853
92637,23,8.61060878134373,0.001356886699796,185574.7548246095,1355.835903366015
92647,1,7.518083095550537,7.518083095550537,176310.87366564156,10172.469564563393
92648,1,7.518083095550537,7.518083095550537,178589.0414194146,7205.3587931176535
92649,1,7.518083095550537,7.518083095550537,176185.28129266677,13010.287005106287
92651,15,12.258033958387871,0.004819540772587,188427.38415898863,3259.0294592433415
92653,22,8.998602706452154,0.001356886699796,187841.55597975294,803.0566881621999
92657,12,15.87506593305928,0.004819540772587,184771.06593866568,3196.328497017694
92660,9,21.13559661976372,0.006579902488738,181847.29019144416,7021.96309244416
92661,8,23.7666878188611,0.006579902488738,183787.87718565008,6627.351284307017
92663,4,3.5577119700610638,0.15013675391674,182178.13419178498,2974.3779897764584
92672,10,0.9098375394940377,0.007379492744803,204171.60662597735,1339.9132893755586
92677,21,9.009133815854078,0.001356886699796,192411.67914466764,3215.4998923241487
92679,18,1280.0334637639269,0.001356886699796,190116.06212734248,1898.9267367092864
92688,22,1055.363831174835,0.001356886699796,189746.82956613888,2891.9905347944
92691,24,967.6485316249115,0.001356886699796,187849.53051969447,2531.1883546794
92692,24,967.6485316249115,0.001356886699796,189104.09125050242,4221.977259751197
92694,25,7.55651107089594,0.001356886699796,194037.77895443738,3682.952072336441
92704,6,1535.2169768164556,0.074742428958416,176939.85575150631,9137.911232289742
92707,11,852.6568590158766,0.074742428958416,177798.62880272305,8548.361696185479
92708,2,3.8024750612676144,0.086867026984692,177138.73583990755,7204.010407131655
92780,13,721.4933768750096,0.020496590062976,177452.36585198017,3079.972868311692
92782,16,752.0902422774816,0.011728066951036,177889.2954874654,1391.810878280913
92801,6,1538.5327971788745,0.113159507513046,171680.3745357075,13617.341019588945
92805,7,1318.7156790191573,0.011728066951036,172699.40126648347,12175.320026476391
92806,8,1173.2469352367334,0.011728066951036,173014.48358797413,9784.208019593545
92807,14,892.6189815392718,0.011728066951036,174578.19679106487,4772.937768656784
92840,4,2301.4270032159984,0.074742428958416,173948.576183574,13534.669746814257
92868,8,1171.1142656733282,0.011728066951036,174522.25931346312,8820.151563767115
92870,11,1081.16617628678,0.011728066951036,172270.01144030874,4932.849222006874
92880,7,1756.7928391101636,0.011728066951036,180919.6103920825,3308.592777015403
92881,6,5887.086333140731,0.097130924463272,187217.45980581472,8785.71986759479
92882,10,3547.772814923711,0.011728066951036,182192.26337573514,1048.681364187154
92883,7,3349.1401150227257,0.0029606227763,191781.3911224863,5910.285308832758
92886,9,1338.7508847740376,0.011728066951036,173493.0978095842,3914.3412845117277
93010,28,13692.324402400916,0.001514837844297,185908.40640177036,7681.791123553265
93012,16,6348.711299262533,0.007144617848098,181986.79011621387,3471.7632474262327
93021,27,14194.537082834213,0.002820560941473,176814.06707486525,4816.198431652944
93023,8,35226.237170596636,0.002526514464989,199787.21508212326,7446.255365729225
93033,13,7790.14459135446,0.001514837844297,189550.04593854514,5051.769753478882
93036,21,13427.14303143328,0.001514837844297,191759.6353546171,1339.6996217838425
93063,23,4502.916995343884,0.002820560941473,169652.1293842799,449.52968278192475
93065,26,3906.335122631621,0.002820560941473,171979.94635048287,3613.4877006932547
93101,2,140954.44339752197,118.01179504394531,223530.92326134493,12046.01820861161
93111,2,140954.44339752197,118.01179504394531,229452.18772747798,2757.944219931559
93203,1,19.211360931396484,19.211360931396484,209707.60531955448,8983.224793867446
93285,6,269.45585193236667,0.455859541893005,246093.39764579362,12413.416501763735
93304,4,13.792139142751694,0.539331316947937,226400.71639114444,13995.045575320151
93305,6,10.469727615515392,0.539331316947937,228535.59341786092,10117.523612043087
93306,5,809.471263885498,22.35437774658203,230258.54542634578,9414.335259416355
93307,2,24.55986785888672,19.211360931396484,219406.97628877105,12510.035456518557
93308,6,53.92221746842066,0.539331316947937,237379.88406601638,2892.9458775317244
93309,2,1.4529020190238955,0.539331316947937,227568.6561324942,14777.682733599606
93312,3,1.9461644887924197,0.539331316947937,231666.02724306725,10726.435694388454
93401,7,41.89557709864208,0.781524002552032,290720.69411361264,7024.017307732278
93405,4,41.0625918507576,2.110911130905151,298515.4162371337,4304.8546986066485
93436,4,134.32078409194946,13.045654296875,267633.4328420916,4184.586668304601
93458,1,89.017120361328125,89.017120361328125,277284.50174759346,7272.467078299006
93463,6,69.89537334442139,19.23785972595215,251456.18898633297,6207.97194803436
93510,5,569.9707721710205,9.179010391235352,172440.34535220012,3748.148928706391
93514,1,2075.6962890625,2075.6962890625,382168.54203901574,10539.765019641767
93532,2,1784.9135131835937,219.2987060546875,182363.7980298836,13089.790684922731
93550,3,28.206031799316406,17.868297576904297,172469.16690978812,12150.459285409028
93551,5,566.1427580833436,0.139297008514404,178443.29386842207,6762.577285363519
93561,1,0.070416823029518,0.070416823029518,206893.25577096466,3634.4900114064735
93611,1,10.21673583984375,10.21673583984375,333997.931492249,15769.934629680183
93638,1,482.3408203125,482.3408203125,355266.4554542538,14211.83364858623
93906,3,30.053765296936035,14.825911521911621,396932.124152543,9026.332387283263
93907,3,30.053765296936035,14.825911521911621,400721.0604416959,7950.042047093393
94002,1,36.337745666503906,36.337745666503906,468656.0309463802,10904.939812837758
94025,1,36.337745666503906,36.337745666503906,459066.4672243415,11935.637509088656
94061,1,36.337745666503906,36.337745666503906,462541.7115909091,7143.633860051321
94062,1,36.337745666503906,36.337745666503906,464526.8217706204,1377.6381116482994
94085,1,321.404541015625,321.404541015625,446990.64121651236,16604.333710640127
94089,1,321.404541015625,321.404541015625,447949.61619555316,15053.892670381638
94305,1,36.337745666503906,36.337745666503906,456675.2085099769,10821.99929706578
94402,1,36.337745666503906,36.337745666503906,471995.725004464,14382.38335838381
94403,1,36.337745666503906,36.337745666503906,470240.30123956164,13703.869243870902
94513,4,246.88074493408203,173.9333038330078,461162.0865757999,11832.28206372743
94517,4,246.88074493408203,173.9333038330078,467856.5191065731,2486.433003769733
94518,2,210.49169158935547,173.9333038330078,478362.6220042979,16521.100572238825
94531,4,246.88074493408203,173.9333038330078,468030.05791281373,8153.327510452988
94533,2,26891.542846679688,2158.429443359375,498787.76409260667,3510.8194121425577
94535,1,2158.429443359375,2158.429443359375,495755.86893481715,6450.397215000623
94536,1,321.404541015625,321.404541015625,454832.39800606517,15714.688317555914
94538,1,321.404541015625,321.404541015625,450230.23498097557,9922.752920253208
94539,1,321.404541015625,321.404541015625,448193.1303601875,6857.265880142359
94550,3,169.82891337076822,70.02040100097656,434652.7811520192,11691.23669767528
94551,4,361.4794502258301,226.6168670654297,454832.04849190125,13610.41317791922
94558,5,39487.758582305905,48.001407623291016,522536.10176366137,9227.879107618586
94560,1,321.404541015625,321.404541015625,454449.4169061991,16033.081324338102
94561,1,339.9227294921875,339.9227294921875,466345.5725220646,14671.608349674629
94574,4,26859.876532793045,2.759610176086426,535063.9824971791,13762.962108580368
94582,3,215.86675008138022,173.9333038330078,462148.0692700068,14957.380155525298
94585,1,2158.429443359375,2158.429443359375,489380.76441209775,14521.776202064133
94589,5,21493.845471572877,10.190670013427734,502216.90210409526,761.0336855613543
94596,2,210.49169158935547,173.9333038330078,475436.9677778346,16452.472601661204
94903,1,1657.369384765625,1657.369384765625,510669.9999276759,15840.387210992205
94947,4,419.73746848106384,1.425337791442871,520357.39045209484,13891.244087422458
94952,3,273.8484395345052,11.888856887817383,535163.4629789039,4035.904022830994
94954,5,11655.421221923829,11.888856887817383,523598.21074240294,11641.113902154386
95003,1,15.64786148071289,15.64786148071289,421929.9102527251,14934.911938041249
95008,1,317.20098876953125,317.20098876953125,438369.52987012087,14933.788502352203
95018,3,113.95577557881673,9.018476486206055,434568.1930920495,6948.3661376196205
95020,1,109.19146728515625,109.19146728515625,405804.78061507904,5694.326659791217
95023,2,37.27797317504883,35.76863098144531,391260.11037748563,7733.624227209097
95030,2,163.10973262786865,9.018476486206055,437191.30665354215,8997.898429594172
95035,1,321.404541015625,321.404541015625,442480.39098338154,3160.2779522004644
95037,1,207.74560546875,207.74560546875,415239.4633808013,12116.51962958327
95050,1,321.404541015625,321.404541015625,441721.283178933,15545.039739276297
95054,1,321.404541015625,321.404541015625,444469.4346330806,12561.294395749777
95060,2,12.333168983459473,9.018476486206055,436148.3161334786,6829.6132862892755
95062,1,15.64786148071289,15.64786148071289,426239.5070200153,6970.380792742024
95065,1,15.64786148071289,15.64786148071289,428548.78858313564,6003.248555935574
95070,2,163.10973262786865,9.018476486206055,442277.14199539815,8392.783909025316
95076,1,109.19146728515625,109.19146728515625,412168.6538055702,13945.495419520135
95110,1,321.404541015625,321.404541015625,439317.54197840206,14449.459811835479
95111,1,207.74560546875,207.74560546875,432027.757153068,12288.061246719464
95112,1,321.404541015625,321.404541015625,437890.188513005,14151.448312342889
95116,1,321.404541015625,321.404541015625,436647.04760582536,13364.246241695839
95118,1,207.74560546875,207.74560546875,433852.8777992512,16069.545334657832
95120,1,207.74560546875,207.74560546875,428020.45104406966,12101.315721754041
95121,1,207.74560546875,207.74560546875,432233.31176157756,12755.89887581773
95122,2,264.5750732421875,207.74560546875,434704.5697313151,15920.26128262028
95123,1,207.74560546875,207.74560546875,430461.18842321605,10891.394825576437
95126,1,321.404541015625,321.404541015625,438694.2600588671,16723.675144388475
95127,1,321.404541015625,321.404541015625,435171.52237830695,12248.62236382618
95129,1,317.20098876953125,317.20098876953125,442035.72554172255,15027.400454758112
95131,1,321.404541015625,321.404541015625,440722.1434462549,9821.746358210698
95132,1,321.404541015625,321.404541015625,436541.4691196849,9592.846006272664
95133,1,321.404541015625,321.404541015625,438120.5522992691,10990.412301913153
